Date,Pcpn
11/17/01,18.71
11/18/01,2.65
11/19/01,13.62
11/20/01,39.07
11/21/01,157.19
11/22/01,235.13
11/23/01,50.29
11/24/01,396.57
11/25/01,172.51
11/26/01,40.72
11/27/01,17.13
11/28/01,106.1
11/29/01,307.94
11/30/01,47.62
12/1/01,247.32
12/2/01,416.78
12/3/01,232.93
12/4/01,23.82
12/5/01,129.6
12/6/01,97.23
12/7/01,4.01
12/8/01,5.71
12/9/01,42.88
12/10/01,28.81
12/11/01,5.86
12/12/01,7.02
12/13/01,59.12
12/14/01,274.33
12/15/01,21.96
12/16/01,26.86
12/17/01,164.62
12/18/01,39.2
12/19/01,68.66
12/20/01,188.96
12/21/01,161.24
12/22/01,112.59
12/23/01,81.29
12/24/01,4.34
12/25/01,6.99
12/26/01,12.27
12/27/01,21.36
12/28/01,144.46
12/29/01,249.67
12/30/01,130.21
12/31/01,186.14
1/1/02,82.16
1/2/02,306.16
1/3/02,111.13
1/4/02,19.79
1/5/02,60.35
1/6/02,168.31
1/7/02,46.53
1/8/02,31.5
1/9/02,5.67
1/10/02,1.6
1/11/02,0.6
1/12/02,3.49
1/13/02,0.32
1/14/02,1.83
1/15/02,2.07
1/16/02,3.53
1/17/02,3.32
1/18/02,0.93
1/19/02,4.44
1/20/02,3.94
1/21/02,45.56
1/22/02,41.29
1/23/02,8.36
1/24/02,1.9
1/25/02,19.11
1/26/02,121.65
1/27/02,99.05
1/28/02,86.69
1/29/02,40.36
1/30/02,10.95
1/31/02,5.54
2/1/02,12.88
2/2/02,3.23
2/3/02,5.14
2/4/02,1.71
2/5/02,1.36
2/6/02,9.79
2/7/02,101.95
2/8/02,118.86
2/9/02,3.32
2/10/02,2.81
2/11/02,2.84
2/12/02,0.02
2/13/02,3.34
2/14/02,3.65
2/15/02,1.83
2/16/02,28.31
2/17/02,150.58
2/18/02,33.63
2/19/02,144.08
2/20/02,187.1
2/21/02,7.96
2/22/02,6.39
2/23/02,39.86
2/24/02,7.8
2/25/02,0.86
2/26/02,0.31
2/27/02,0.11
2/28/02,0.54
3/1/02,1.35
3/2/02,0.21
3/3/02,0.75
3/4/02,0.78
3/5/02,16.65
3/6/02,189.41
3/7/02,229.39
3/8/02,57.96
3/9/02,18.33
3/10/02,114.3
3/11/02,25.89
3/12/02,14.13
3/13/02,23.58
3/14/02,12.42
3/15/02,10.86
3/16/02,29.91
3/17/02,73.56
3/18/02,60.23
3/19/02,4.11
3/20/02,1.58
3/21/02,2.39
3/22/02,54.85
3/23/02,195.64
3/24/02,77.26
3/25/02,14.26
3/26/02,1.17
3/27/02,0.95
3/28/02,1.43
3/29/02,0.61
3/30/02,0.23
3/31/02,0.14
4/1/02,0.26
4/2/02,0.62
4/3/02,0.67
4/4/02,0.93
4/5/02,1.21
4/6/02,5.26
4/7/02,0.43
4/8/02,1.42
4/9/02,14.81
4/10/02,23.13
4/11/02,6.2
4/12/02,1.34
4/13/02,3.47
4/14/02,15.1
4/15/02,13.77
4/16/02,31.08
4/17/02,91.53
4/18/02,30.01
4/19/02,10.18
4/20/02,4.31
4/21/02,0.93
4/22/02,0.42
4/23/02,0.63
4/24/02,13.53
4/25/02,6.67
4/26/02,36.94
4/27/02,37.42
4/28/02,11.74
4/29/02,45.12
4/30/02,61.3
5/1/02,14.7
5/2/02,1.55
5/3/02,0.36
5/4/02,0.41
5/5/02,0.84
5/6/02,0.06
5/7/02,0.13
5/8/02,0.21
5/9/02,0.32
5/10/02,2.12
5/11/02,2.26
5/12/02,0.64
5/13/02,0.36
5/14/02,0.36
5/15/02,0.31
5/16/02,0.22
5/17/02,0.3
5/18/02,1.31
5/19/02,37.5
5/20/02,147.97
5/21/02,105.82
5/22/02,8.16
5/23/02,3.01
5/24/02,0.42
5/25/02,0.78
5/26/02,0.25
5/27/02,2.6
5/28/02,4.76
5/29/02,1.86
5/30/02,0.09
5/31/02,4.42
6/1/02,7.4
6/2/02,0.37
6/3/02,0.73
6/4/02,0.09
6/5/02,0.12
6/6/02,0.1
6/7/02,0.01
6/8/02,0.07
6/9/02,0.93
6/10/02,0.08
6/11/02,0.02
6/12/02,0.05
6/13/02,0.04
6/14/02,0.07
6/15/02,0.11
6/16/02,0
6/17/02,2.53
6/18/02,5.89
6/19/02,0.14
6/20/02,0.24
6/21/02,5.03
6/22/02,4.36
6/23/02,0.48
6/24/02,0.48
6/25/02,0.06
6/26/02,1.89
6/27/02,0.97
6/28/02,0.19
6/29/02,1.12
6/30/02,0.26
7/1/02,0
7/2/02,0.07
7/3/02,0
7/4/02,0.01
7/5/02,0
7/6/02,0
7/7/02,0.09
7/8/02,0.13
7/9/02,0
7/10/02,0.29
7/11/02,1.03
7/12/02,2.82
7/13/02,1.98
7/14/02,1.12
7/15/02,0.97
7/16/02,0.42
7/17/02,2.17
7/18/02,3.64
7/19/02,4.45
7/20/02,0.34
7/21/02,1.46
7/22/02,1.81
7/23/02,1.28
7/24/02,1.17
7/25/02,1.87
7/26/02,0.04
7/27/02,0.03
7/28/02,0.01
7/29/02,0.01
7/30/02,0.02
7/31/02,1.79
8/1/02,1.45
8/2/02,0.64
8/3/02,0.55
8/4/02,0.47
8/5/02,0.08
8/6/02,0.05
8/7/02,0.3
8/8/02,0.1
8/9/02,0.1
8/10/02,0.13
8/11/02,0
8/12/02,0
8/13/02,0.02
8/14/02,0
8/15/02,0.03
8/16/02,0.06
8/17/02,0.03
8/18/02,0.05
8/19/02,0.61
8/20/02,0.69
8/21/02,0
8/22/02,0.13
8/23/02,0.08
8/24/02,0.11
8/25/02,0.14
8/26/02,0.2
8/27/02,0.25
8/28/02,0.07
8/29/02,0.23
8/30/02,0.14
8/31/02,0.21
9/1/02,0.16
9/2/02,0.36
9/3/02,0.31
9/4/02,1.32
9/5/02,1.39
9/6/02,12.99
9/7/02,15.73
9/8/02,0.75
9/9/02,0.35
9/10/02,3.74
9/11/02,0.24
9/12/02,0.03
9/13/02,0.18
9/14/02,0.02
9/15/02,0.25
9/16/02,0.24
9/17/02,1.99
9/18/02,1.78
9/19/02,0.01
9/20/02,0.06
9/21/02,0.03
9/22/02,0.07
9/23/02,0.04
9/24/02,0.02
9/25/02,0.08
9/26/02,0.12
9/27/02,0.52
9/28/02,4.84
9/29/02,4.21
9/30/02,0.62
10/1/02,4.19
10/2/02,3.2
10/3/02,1.01
10/4/02,1.93
10/5/02,0.44
10/6/02,0
10/7/02,0.02
10/8/02,0
10/9/02,0.08
10/10/02,0.68
10/11/02,0.02
10/12/02,0.01
10/13/02,0.02
10/14/02,0
10/15/02,0.04
10/16/02,0.11
10/17/02,0.49
10/18/02,0.27
10/19/02,0.02
10/20/02,0.37
10/21/02,0.93
10/22/02,0.55
10/23/02,0.5
10/24/02,0.21
10/25/02,2.08
10/26/02,2.95
10/27/02,0.88
10/28/02,1.06
10/29/02,0.1
10/30/02,0.37
10/31/02,0.08
11/1/02,0.34
11/2/02,0.12
11/3/02,0.09
11/4/02,1.62
11/5/02,2.04
11/6/02,13.21
11/7/02,320.02
11/8/02,789.35
11/9/02,339.56
11/10/02,181.8
11/11/02,41.13
11/12/02,31.21
11/13/02,22.87
11/14/02,0.76
11/15/02,0.89
11/16/02,3.35
11/17/02,4.37
11/18/02,11.92
11/19/02,0.97
11/20/02,0.45
11/21/02,6.78
11/22/02,0.45
11/23/02,0.51
11/24/02,0.51
11/25/02,0.32
